"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","999.7","1003.2","1001.6","2023-06-10 00:01","998.4","2023-06-10 14:45","26.9","30.8","2023-06-10 11:11","24.8","2023-06-10 22:02","24.6","87","71","2023-06-10 11:09","1.3","150","7.3","160","2023-06-10 16:16","2.5","0.7","1.0","2023-06-10 20:15","1.5","2023-06-10 20:15","0.7","5.1","9.30","22.0","-2.0","5","2023-06-10 11:00","9.0"
"11","999.5","1003.0","1000.5","2023-06-11 11:22","998.1","2023-06-11 02:25","26.3","28.4","2023-06-11 13:38","24.7","2023-06-11 01:26","24.8","92","79","2023-06-11 08:51","1.1","170","5.5","100","2023-06-11 23:02","6.5","4.7","1.0","2023-06-11 11:20","2.5","2023-06-11 17:22","0.1","0.7","8.67","19.0","-0.2","6","2023-06-11 13:00","10.0"
"12","1000.0","1003.5","1001.4","2023-06-12 08:51","998.8","2023-06-12 15:05","26.6","29.1","2023-06-12 14:04","25.3","2023-06-12 23:59","23.2","82","65","2023-06-12 13:58","2.0","120","8.4","100","2023-06-12 17:19","0.0","0.0","0.0","...","0.0","...","0.0","0.0","8.30","27.5","2.3","5","2023-06-12 13:00","9.8"
"13","999.2","1002.7","1001.2","2023-06-13 22:12","997.8","2023-06-13 14:20","27.8","32.4","2023-06-13 11:32","24.4","2023-06-13 03:49","22.4","73","54","2023-06-13 11:24","2.0","120","8.5","90","2023-06-13 18:12","0.0","0.0","0.0","...","0.0","...","8.1","59.4","24.18","41.3","5.2","10","2023-06-13 13:00","9.0"
"14","1002.0","1005.4","1005.3","2023-06-14 21:58","999.2","2023-06-14 02:49","27.6","31.4","2023-06-14 11:45","24.9","2023-06-14 23:01","23.8","80","66","2023-06-14 11:00","1.4","130","6.7","100","2023-06-14 22:10","3.5","1.2","1.0","2023-06-14 19:49","3.0","2023-06-14 19:35","1.3","9.5","11.07","30.0","-2.3","5","2023-06-14 12:00","9.3"
"15","1005.6","1009.1","1007.3","2023-06-15 20:57","1004.1","2023-06-15 00:13","25.2","27.8","2023-06-15 11:32","22.9","2023-06-15 04:18","23.4","90","78","2023-06-15 11:32","2.2","80","11.2","80","2023-06-15 16:39","10.5","4.7","1.5","2023-06-15 01:30","4.5","2023-06-15 01:14","0.5","3.7","9.72","30.8","-2.0","9","2023-06-15 12:00","10.0"
"16","1006.3","1009.8","1008.4","2023-06-16 23:03","1005.1","2023-06-16 04:44","26.4","31.7","2023-06-16 12:14","24.7","2023-06-16 00:01","25.1","93","68","2023-06-16 12:26","1.2","130","8.6","40","2023-06-16 13:27","50.0","3.7","14.5","2023-06-16 13:51","38.5","2023-06-16 13:50","1.1","8.1","10.95","26.1","/","6","2023-06-16 11:00","9.5"
"17","1007.6","1011.1","1009.0","2023-06-17 10:23","1006.2","2023-06-17 15:30","27.3","30.4","2023-06-17 14:28","24.9","2023-06-17 04:57","25.6","91","73","2023-06-17 14:40","1.0","160","3.4","180","2023-06-17 20:00","1.5","2.5","0.5","2023-06-17 01:03","0.5","2023-06-17 01:03","0.2","1.5","8.77","21.3","-0.6","5","2023-06-17 12:00","10.0"
"18","1005.8","1009.3","1007.8","2023-06-18 00:01","1003.6","2023-06-18 15:49","29.9","34.3","2023-06-18 14:12","26.0","2023-06-18 05:20","25.3","77","59","2023-06-18 14:13","1.8","300","8.9","300","2023-06-18 13:01","0.0","0.0","0.0","...","0.0","...","4.8","35.2","19.11","26.3","2.6","7","2023-06-18 12:00","8.0"
"19","1003.3","1006.7","1005.4","2023-06-19 08:15","1001.1","2023-06-19 15:51","30.2","34.3","2023-06-19 14:23","26.6","2023-06-19 04:49","24.5","72","56","2023-06-19 11:58","1.8","270","10.7","290","2023-06-19 13:31","0.0","0.0","0.0","...","0.0","...","1.5","11.0","15.58","32.5","3.8","8","2023-06-19 12:00","9.0"
"20","1002.3","1005.7","1003.6","2023-06-20 21:55","1000.9","2023-06-20 15:40","31.6","36.2","2023-06-20 12:12","27.0","2023-06-20 05:10","24.7","68","49","2023-06-20 10:56","2.0","280","12.2","270","2023-06-20 15:29","0.0","0.0","0.0","...","0.0","...","10.8","79.1","26.20","50.0","6.6","11","2023-06-20 12:00","5.8"
"21","1003.0","1006.4","1004.8","2023-06-21 22:17","1001.1","2023-06-21 15:39","31.5","35.3","2023-06-21 13:12","27.6","2023-06-21 05:36","24.9","69","55","2023-06-21 11:35","2.1","280","9.8","300","2023-06-21 14:13","0.0","0.0","0.0","...","0.0","...","9.4","68.9","22.08","44.0","5.0","9","2023-06-21 12:00","6.8"
"22","1004.1","1007.6","1005.9","2023-06-22 22:27","1003.2","2023-06-22 15:27","30.5","33.7","2023-06-22 10:07","28.4","2023-06-22 05:15","25.3","74","57","2023-06-22 09:47","1.6","290","9.0","270","2023-06-22 09:02","0.0","0.0","0.0","...","0.0","...","4.5","33.0","14.65","37.5","-3.1","7","2023-06-22 10:00","8.0"
"23","1005.6","1009.1","1007.0","2023-06-23 21:06","1004.4","2023-06-23 01:36","28.1","34.2","2023-06-23 12:34","25.3","2023-06-23 17:27","25.8","88","62","2023-06-23 12:31","1.5","210","9.1","100","2023-06-23 14:14","125.0","4.4","14.0","2023-06-23 15:39","58.5","2023-06-23 14:14","4.8","35.2","16.43","18.3","/","10","2023-06-23 13:00","9.0"
"24","1006.1","1009.6","1009.0","2023-06-24 21:33","1004.2","2023-06-24 14:36","28.4","34.2","2023-06-24 13:57","24.7","2023-06-24 04:19","24.6","81","57","2023-06-24 11:42","1.5","190","9.5","340","2023-06-24 14:56","1.5","1.5","0.5","2023-06-24 18:31","1.0","2023-06-24 18:31","7.9","57.9","22.57","33.0","-4.9","10","2023-06-24 11:00","6.3"
"25","1006.7","1010.1","1008.1","2023-06-25 21:38","1005.5","2023-06-25 16:48","29.8","34.4","2023-06-25 14:38","26.1","2023-06-25 03:48","24.6","74","54","2023-06-25 10:04","1.6","140","6.7","340","2023-06-25 16:18","0.0","0.0","0.0","...","0.0","...","9.2","67.4","24.65","30.0","5.5","10","2023-06-25 11:00","6.3"
"26","1006.7","1010.2","1008.5","2023-06-26 22:14","1004.6","2023-06-26 15:29","30.3","34.7","2023-06-26 13:43","27.4","2023-06-26 04:49","25.2","75","56","2023-06-26 11:28","1.3","160","7.1","340","2023-06-26 13:55","0.0","0.0","0.0","...","0.0","...","5.3","38.8","19.98","40.5","4.4","9","2023-06-26 14:00","6.8"
"27","1007.5","1011.0","1009.5","2023-06-27 21:40","1006.1","2023-06-27 15:07","30.4","34.4","2023-06-27 11:35","27.0","2023-06-27 05:00","23.9","69","54","2023-06-27 11:12","2.1","120","8.8","130","2023-06-27 11:59","0.0","0.0","0.0","...","0.0","...","7.7","56.5","20.98","51.0","5.0","12","2023-06-27 12:00","6.3"
"28","1007.2","1010.6","1009.3","2023-06-28 07:23","1005.3","2023-06-28 18:03","30.5","34.1","2023-06-28 12:49","27.7","2023-06-28 03:39","23.3","66","51","2023-06-28 13:36","1.5","150","7.6","140","2023-06-28 16:54","0.0","0.0","0.0","...","0.0","...","4.4","32.3","16.27","40.0","4.3","6","2023-06-28 10:00","8.8"
"29","1004.8","1008.2","1006.7","2023-06-29 07:14","1002.6","2023-06-29 15:14","30.3","36.0","2023-06-29 13:07","26.9","2023-06-29 05:36","23.5","68","47","2023-06-29 12:32","1.8","160","7.1","330","2023-06-29 15:07","T","0.6","T","2023-06-29 15:10","T","2023-06-29 15:10","8.2","60.2","22.53","37.5","-4.9","10","2023-06-29 13:00","7.8"
"30","1003.8","1007.3","1004.9","2023-06-30 15:47","1002.5","2023-06-30 14:04","28.4","35.2","2023-06-30 11:40","25.2","2023-06-30 15:55","24.6","81","48","2023-06-30 11:36","1.6","160","9.6","50","2023-06-30 14:42","89.0","3.7","19.0","2023-06-30 14:34","71.0","2023-06-30 14:31","6.1","44.8","15.72","45.0","/","10","2023-06-30 12:00","7.8"
